Brand,Items,Variant,Subcategories,Indicator,Score,Mentions,CoreIndicator,Polarization,Reason,Evaluated_At
YSL,自由不羈沁心之果香水,,香水,香精濃度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,持香度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,香味層次銜接流暢度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,原料品質,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,擴散度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,場景百搭度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,噴頭瓶身設計,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
YSL,自由不羈沁心之果香水,,香水,低酒精/無刺鼻感,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,香精濃度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,持香度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,香味層次銜接流暢度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,原料品質,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,擴散度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,場景百搭度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,噴頭瓶身設計,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
CHANEL,香奈兒N°5典藏香水,,香水,低酒精/無刺鼻感,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
蘭蔻,IDOLE唯我香水,,香水,香精濃度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
蘭蔻,IDOLE唯我香水,,香水,持香度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
蘭蔻,IDOLE唯我香水,,香水,香味層次銜接流暢度,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
蘭蔻,IDOLE唯我香水,,香水,原料品質,,0,False,False,尚未有足夠的爬蟲評論資料,2026-07-03 16:28:29
