Brand,Items,Subcategories,Indicator,Score,Mentions,CoreIndicator,Polarization,Reason,Evaluated_At
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,遮瑕力,2.27,2,True,False,⚠️ 樣本僅 2 則且評論分歧，參考性有限,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,保濕度,1.8,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,控油力,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,持妝度,4.0,3,True,False,核心指標 ×1.3,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,輕透度,4.0,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,服貼度,4.0,4,True,False,核心指標 ×1.3,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,防水抗汗,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,光澤度,4.0,1,False,False,,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:10:56
植村秀,無極限超持久輕粉底 SPF25 PA+++,粉底液,綜合評分,3.4,,,,排除 8 則業配/疑似業配、6 則商品不符,2026-07-03 16:10:56
資生堂,超進化光感緊緻粉底N,粉底液,遮瑕力,4.33,4,True,False,核心指標 ×1.3,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,保濕度,1.8,1,False,False,,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,控油力,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,持妝度,,0,True,False,資料不足，評論中未提及此指標,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,輕透度,4.0,2,False,False,⚠️ 樣本僅 2 則，參考性有限,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,厚重度,4.0,1,False,False,,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,服貼度,4.0,1,True,False,核心指標 ×1.3,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,防水抗汗,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,光澤度,3.86,4,False,False,,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,成膜度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:11:54
資生堂,超進化光感緊緻粉底N,粉底液,綜合評分,3.7,,,,排除 3 則業配/疑似業配、5 則商品不符,2026-07-03 16:11:54
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,遮瑕力,4.0,3,True,False,核心指標 ×1.3,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,保濕度,4.0,1,False,False,,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,控油力,4.0,1,False,False,,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,持妝度,3.75,6,True,False,核心指標 ×1.3,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,輕透度,4.0,1,False,False,,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,厚重度,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,服貼度,3.82,5,True,False,核心指標 ×1.3,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,防水抗汗,,0,False,False,資料不足，評論中未提及此指標,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,光澤度,3.38,5,False,False,,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,成膜度,3.0,1,False,False,,2026-07-03 16:12:26
M.A.C,超持妝濾鏡粉底液SPF25/PA++,粉底液,綜合評分,3.8,,,,排除 7 則業配/疑似業配、2 則商品不符,2026-07-03 16:12:26
YSL,恆久完美無瑕持妝粉底,粉底液,遮瑕力,3.9,4,True,False,核心指標 ×1.3,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,保濕度,2.8,3,False,False,,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,控油力,4.0,3,False,False,,2026-07-03 16:13:12
YSL,恆久完美無瑕持妝粉底,粉底液,持妝度,4.13,7,True,False,核心指標 ×1.3,2026-07-03 16:13:12
