ID,Types,Categories,Subcategories,Brand
1,彩妝,底妝產品,粉底液,植村秀
2,彩妝,底妝產品,粉底液,資生堂
3,彩妝,底妝產品,粉底液,M.A.C
4,彩妝,底妝產品,粉底液,YSL
5,彩妝,底妝產品,粉底液,DIOR
6,彩妝,底妝產品,粉底液,CHANEL
7,彩妝,底妝產品,粉底液,MAKE UP FOREVER
8,彩妝,底妝產品,粉底液,雅詩蘭黛
9,彩妝,底妝產品,粉底液,蘭蔻
10,彩妝,底妝產品,粉底液,Bobbi Brown
11,彩妝,底妝產品,遮瑕膏,植村秀
12,彩妝,底妝產品,遮瑕膏,資生堂
13,彩妝,底妝產品,遮瑕膏,M.A.C
14,彩妝,底妝產品,遮瑕膏,YSL
15,彩妝,底妝產品,遮瑕膏,DIOR
16,彩妝,底妝產品,遮瑕膏,CHANEL
17,彩妝,底妝產品,遮瑕膏,MAKE UP FOREVER
18,彩妝,底妝產品,遮瑕膏,雅詩蘭黛
19,彩妝,底妝產品,遮瑕膏,蘭蔻
20,彩妝,底妝產品,遮瑕膏,Bobbi Brown
21,彩妝,底妝產品,氣墊粉餅,植村秀
22,彩妝,底妝產品,氣墊粉餅,資生堂
23,彩妝,底妝產品,氣墊粉餅,M.A.C
24,彩妝,底妝產品,氣墊粉餅,YSL
25,彩妝,底妝產品,氣墊粉餅,DIOR
26,彩妝,底妝產品,氣墊粉餅,CHANEL
27,彩妝,底妝產品,氣墊粉餅,MAKE UP FOREVER
28,彩妝,底妝產品,氣墊粉餅,雅詩蘭黛
29,彩妝,底妝產品,氣墊粉餅,蘭蔻
30,彩妝,底妝產品,氣墊粉餅,Bobbi Brown
31,彩妝,底妝產品,蜜粉,植村秀
32,彩妝,底妝產品,蜜粉,資生堂
33,彩妝,底妝產品,蜜粉,M.A.C
34,彩妝,底妝產品,蜜粉,YSL
35,彩妝,底妝產品,蜜粉,DIOR
36,彩妝,底妝產品,蜜粉,CHANEL
37,彩妝,底妝產品,蜜粉,MAKE UP FOREVER
38,彩妝,底妝產品,蜜粉,雅詩蘭黛
39,彩妝,底妝產品,蜜粉,蘭蔻
40,彩妝,底妝產品,蜜粉,Bobbi Brown
41,彩妝,底妝產品,腮紅,植村秀
42,彩妝,底妝產品,腮紅,資生堂
43,彩妝,底妝產品,腮紅,M.A.C
44,彩妝,底妝產品,腮紅,YSL
