ID,Types,Categories,Subcategories,Indicator
1,彩妝,底妝產品,粉底液,遮瑕力
2,彩妝,底妝產品,粉底液,保濕度
3,彩妝,底妝產品,粉底液,控油力
4,彩妝,底妝產品,粉底液,持妝度
5,彩妝,底妝產品,粉底液,輕透度
6,彩妝,底妝產品,粉底液,厚重度
7,彩妝,底妝產品,粉底液,服貼度
8,彩妝,底妝產品,粉底液,防水抗汗
9,彩妝,底妝產品,粉底液,光澤度
10,彩妝,底妝產品,粉底液,成膜度
11,彩妝,底妝產品,遮瑕膏,遮蓋力
12,彩妝,底妝產品,遮瑕膏,抗紋力
13,彩妝,底妝產品,遮瑕膏,持久度
14,彩妝,底妝產品,遮瑕膏,服貼度
15,彩妝,底妝產品,遮瑕膏,不暗沉變色
16,彩妝,底妝產品,遮瑕膏,校色效果
17,彩妝,底妝產品,遮瑕膏,厚重度
18,彩妝,底妝產品,氣墊粉餅,遮瑕力
19,彩妝,底妝產品,氣墊粉餅,保濕度
20,彩妝,底妝產品,氣墊粉餅,控油力
21,彩妝,底妝產品,氣墊粉餅,持妝度
22,彩妝,底妝產品,氣墊粉餅,輕透度
23,彩妝,底妝產品,氣墊粉餅,厚重度
24,彩妝,底妝產品,氣墊粉餅,服貼度
25,彩妝,底妝產品,氣墊粉餅,成膜度
26,彩妝,底妝產品,氣墊粉餅,防水抗汗
27,彩妝,底妝產品,氣墊粉餅,光澤度
28,彩妝,底妝產品,氣墊粉餅,包裝與粉撲設計
29,彩妝,底妝產品,蜜粉,粉質細緻度
30,彩妝,底妝產品,蜜粉,毛孔柔焦度
31,彩妝,底妝產品,蜜粉,控油持妝力
32,彩妝,底妝產品,蜜粉,保濕度
33,彩妝,底妝產品,蜜粉,輕透度
34,彩妝,底妝產品,蜜粉,取粉設計
35,彩妝,底妝產品,腮紅,顯色度
36,彩妝,底妝產品,腮紅,色調適合度
37,彩妝,底妝產品,腮紅,持久度
38,彩妝,底妝產品,腮紅,粉質細緻度
39,彩妝,底妝產品,腮紅,服貼度
40,彩妝,底妝產品,腮紅,暈染力
41,彩妝,底妝產品,腮紅,修飾力
42,彩妝,底妝產品,妝前乳,服貼度
43,彩妝,底妝產品,妝前乳,膚色校正
44,彩妝,底妝產品,妝前乳,毛孔隱形
45,彩妝,底妝產品,妝前乳,抗暗沉
46,彩妝,底妝產品,妝前乳,保濕度
47,彩妝,底妝產品,妝前乳,控油力
48,彩妝,底妝產品,妝前乳,底妝相容性
49,彩妝,底妝產品,防曬乳,防曬係數
50,彩妝,底妝產品,防曬乳,清爽透氣度
51,彩妝,底妝產品,防曬乳,防水抗汗力
52,彩妝,底妝產品,防曬乳,不泛白自然度
53,彩妝,底妝產品,防曬乳,底妝相容性
54,彩妝,底妝產品,打亮/修容,粉質細膩度
55,彩妝,底妝產品,打亮/修容,暈染力
56,彩妝,底妝產品,打亮/修容,色調適合度
57,彩妝,底妝產品,打亮/修容,顯色力
58,彩妝,底妝產品,打亮/修容,持久度
59,彩妝,底妝產品,定妝噴霧,成膜速度
60,彩妝,底妝產品,定妝噴霧,噴霧細緻度
61,彩妝,底妝產品,定妝噴霧,清爽不黏膩
62,彩妝,底妝產品,定妝噴霧,控油保濕平衡
63,彩妝,底妝產品,定妝噴霧,氣味接受度
64,彩妝,底妝產品,定妝噴霧,持久度
65,彩妝,底妝產品,定妝噴霧,抗摩擦力
66,彩妝,底妝產品,定妝噴霧,防水抗汗
67,彩妝,眼妝產品,眉筆,筆芯滑順度
68,彩妝,眼妝產品,眉筆,筆芯硬度
69,彩妝,眼妝產品,眉筆,顯色度
70,彩妝,眼妝產品,眉筆,持妝抗暈力
71,彩妝,眼妝產品,眉筆,防結塊
72,彩妝,眼妝產品,眼線筆,防水防油抗暈力
73,彩妝,眼妝產品,眼線筆,防沾染
74,彩妝,眼妝產品,眼線筆,筆觸滑順度
75,彩妝,眼妝產品,眼線筆,顯色度
76,彩妝,眼妝產品,眼線筆,筆尖設計
77,彩妝,眼妝產品,睫毛膏,捲翹持久度
78,彩妝,眼妝產品,睫毛膏,抗暈染力
79,彩妝,眼妝產品,睫毛膏,纖長效果
80,彩妝,眼妝產品,睫毛膏,濃密效果
81,彩妝,眼妝產品,睫毛膏,卸除難易度
82,彩妝,眼妝產品,睫毛膏,根根分明度
83,彩妝,眼妝產品,眼影/眼影盤,粉質細緻度
84,彩妝,眼妝產品,眼影/眼影盤,顏色飽和度
85,彩妝,眼妝產品,眼影/眼影盤,顯色度
86,彩妝,眼妝產品,眼影/眼影盤,防飛粉
87,彩妝,眼妝產品,眼影/眼影盤,暈染力
88,彩妝,眼妝產品,眼影/眼影盤,配色實用性
89,彩妝,眼妝產品,眼影/眼影盤,持妝度
90,彩妝,唇妝產品,唇膏,修飾唇紋效果
91,彩妝,唇妝產品,唇膏,卸除難易度
92,彩妝,唇妝產品,唇膏,顯色度
93,彩妝,唇妝產品,唇膏,持妝力
94,彩妝,唇妝產品,唇膏,質地觸感
95,彩妝,唇妝產品,唇膏,保濕不拔乾
96,彩妝,唇妝產品,唇膏,防沾染
97,彩妝,唇妝產品,唇膏,沾杯程度
98,彩妝,唇妝產品,唇膏,塗抹均勻度
99,彩妝,唇妝產品,唇蜜,質地黏膩度
100,彩妝,唇妝產品,唇蜜,保濕滋潤度
101,彩妝,唇妝產品,唇蜜,成膜性
102,彩妝,唇妝產品,唇蜜,豐唇效果
103,彩妝,唇妝產品,唇蜜,修飾唇紋效果
104,彩妝,唇妝產品,唇蜜,防沾染
105,彩妝,唇妝產品,唇蜜,沾杯程度
106,彩妝,唇妝產品,唇蜜,卸除難易度
107,彩妝,唇妝產品,唇蜜,塗抹均勻度
108,彩妝,唇妝產品,唇釉,染唇狀況
109,彩妝,唇妝產品,唇釉,顯色度
110,彩妝,唇妝產品,唇釉,持妝度
111,彩妝,唇妝產品,唇釉,沾杯程度
112,彩妝,唇妝產品,唇釉,修飾唇紋效果
113,彩妝,唇妝產品,唇釉,氧化變色率
114,彩妝,唇妝產品,唇釉,卸除難易度
115,彩妝,唇妝產品,唇釉,塗抹均勻度
116,彩妝,唇妝產品,護唇膏,滋潤度
117,彩妝,唇妝產品,護唇膏,保濕度
118,彩妝,唇妝產品,護唇膏,潤色效果
119,彩妝,唇妝產品,護唇膏,撫平唇紋
120,彩妝,唇妝產品,護唇膏,持久度
121,彩妝,唇妝產品,護唇膏,修復改善
122,彩妝,唇妝產品,護唇膏,成分安全性
123,保養,清潔,洗面乳,清潔力
124,保養,清潔,洗面乳,成分溫和度
125,保養,清潔,洗面乳,起泡力
126,保養,清潔,洗面乳,膚質適配性
127,保養,清潔,洗面乳,保濕度
128,保養,清潔,去角質,成分溫和度
129,保養,清潔,去角質,粉刺毛孔淨化度
130,保養,清潔,去角質,清潔力
131,保養,清潔,去角質,膚質適配性
132,保養,清潔,去角質,保濕度
133,保養,清潔,去角質,去角質機制
134,保養,卸妝,卸妝油,卸妝力
135,保養,卸妝,卸妝油,乳化速度
136,保養,卸妝,卸妝油,毛孔清潔度
137,保養,卸妝,卸妝油,殘妝溶解力
138,保養,卸妝,卸妝油,溫和不熏眼
139,保養,卸妝,卸妝油,致痘風險
140,保養,卸妝,卸妝膏,卸妝力
141,保養,卸妝,卸妝膏,乳化速度
142,保養,卸妝,卸妝膏,毛孔清潔度
143,保養,卸妝,卸妝膏,殘妝溶解力
144,保養,卸妝,卸妝膏,溫和不熏眼
145,保養,卸妝,卸妝膏,致痘風險
146,保養,卸妝,卸妝膏,挖勺便利性
147,保養,卸妝,卸妝水,卸妝力
148,保養,卸妝,卸妝水,清爽度
149,保養,卸妝,卸妝水,毛孔清潔度
150,保養,卸妝,卸妝水,低摩擦度
151,保養,卸妝,卸妝水,溫和不熏眼
152,保養,卸妝,卸妝水,殘妝溶解力
153,保養,卸妝,卸妝水,致痘風險
154,保養,卸妝,卸妝水,保濕度
155,保養,卸妝,眼唇卸妝液,卸妝力
156,保養,卸妝,眼唇卸妝液,乳化速度
157,保養,卸妝,眼唇卸妝液,殘妝溶解力
158,保養,卸妝,眼唇卸妝液,溫和不熏眼
159,保養,卸妝,眼唇卸妝液,低摩擦度
160,保養,卸妝,卸妝棉,卸妝力
161,保養,卸妝,卸妝棉,殘妝溶解力
162,保養,卸妝,卸妝棉,溫和不熏眼
163,保養,卸妝,卸妝棉,低摩擦度
164,保養,卸妝,卸妝棉,棉片材質親膚度
165,保養,卸妝,卸妝棉,包裝密封設計
166,保養,保養品,化妝水,吸收滲透力
167,保養,保養品,化妝水,保濕鎖水度
168,保養,保養品,化妝水,清爽度
169,保養,保養品,化妝水,膚況穩定度
170,保養,保養品,化妝水,成分安全性
171,保養,保養品,化妝水,功效顯著度
172,保養,保養品,乳液,吸收滲透力
173,保養,保養品,乳液,保濕鎖水度
174,保養,保養品,乳液,清爽度
175,保養,保養品,乳液,膚況穩定度
176,保養,保養品,乳液,致痘風險
177,保養,保養品,乳液,成分安全性
178,保養,保養品,乳液,功效顯著度
179,保養,保養品,面霜,吸收滲透力
180,保養,保養品,面霜,保濕鎖水度
181,保養,保養品,面霜,清爽度
182,保養,保養品,面霜,膚況穩定度
183,保養,保養品,面霜,致痘風險
184,保養,保養品,面霜,成分配方
185,保養,保養品,面霜,功效顯著度
186,保養,保養品,面霜,修復改善
187,保養,保養品,精華液,吸收滲透力
188,保養,保養品,精華液,清爽度
189,保養,保養品,精華液,膚況穩定度
190,保養,保養品,精華液,致痘風險
191,保養,保養品,精華液,成分配方
192,保養,保養品,精華液,功效顯著度
193,保養,保養品,精華液,修復改善
194,保養,保養品,眼霜,吸收滲透力
195,保養,保養品,眼霜,保濕鎖水度
196,保養,保養品,眼霜,撫紋抗皺效能
197,保養,保養品,眼霜,修復改善
198,保養,保養品,眼霜,成分安全性
199,保養,保養品,面膜,面膜材質
200,保養,保養品,面膜,服貼度
201,保養,保養品,面膜,功效顯著度
202,保養,保養品,面膜,吸收滲透力
203,保養,保養品,面膜,修復改善
204,保養,保養品,面膜,成分配方
205,保養,保養品,面膜,成分安全性
206,工具,臉部工具,粉底刷,刷痕殘留度
207,工具,臉部工具,粉底刷,吃粉程度
208,工具,臉部工具,粉底刷,釋粉力
209,工具,臉部工具,粉底刷,刷毛彈性
210,工具,臉部工具,粉底刷,刷毛密度
211,工具,臉部工具,粉底刷,上妝順手度
212,工具,臉部工具,粉底刷,耐用度
213,工具,臉部工具,粉底刷,毛質觸感
214,工具,臉部工具,腮紅刷,刷痕殘留度
215,工具,臉部工具,腮紅刷,吃粉程度
216,工具,臉部工具,腮紅刷,釋粉力
217,工具,臉部工具,腮紅刷,刷毛彈性
218,工具,臉部工具,腮紅刷,刷毛密度
219,工具,臉部工具,腮紅刷,上妝順手度
220,工具,臉部工具,腮紅刷,耐用度
221,工具,臉部工具,腮紅刷,毛質觸感
222,工具,臉部工具,腮紅刷,暈染均勻度
223,工具,臉部工具,打亮修容刷,刷痕殘留度
224,工具,臉部工具,打亮修容刷,吃粉程度
225,工具,臉部工具,打亮修容刷,釋粉力
226,工具,臉部工具,打亮修容刷,刷毛彈性
227,工具,臉部工具,打亮修容刷,刷毛密度
228,工具,臉部工具,打亮修容刷,上妝順手度
229,工具,臉部工具,打亮修容刷,耐用度
230,工具,臉部工具,打亮修容刷,毛質觸感
231,工具,臉部工具,打亮修容刷,暈染均勻度
232,工具,臉部工具,打亮修容刷,顯色度
233,工具,臉部工具,海綿粉撲,材質回彈力
234,工具,臉部工具,海綿粉撲,材質柔軟度
235,工具,臉部工具,海綿粉撲,吃粉程度
236,工具,臉部工具,海綿粉撲,釋粉力
237,工具,臉部工具,海綿粉撲,孔隙密度
238,工具,臉部工具,海綿粉撲,服貼度
239,工具,臉部工具,海綿粉撲,親水性
240,工具,臉部工具,海綿粉撲,耐用度
241,工具,眼部工具,眼影刷,刷痕殘留度
242,工具,眼部工具,眼影刷,吃粉程度
243,工具,眼部工具,眼影刷,釋粉力
244,工具,眼部工具,眼影刷,刷毛彈性
245,工具,眼部工具,眼影刷,刷毛密度
246,工具,眼部工具,眼影刷,上妝順手度
247,工具,眼部工具,眼影刷,耐用度
248,工具,眼部工具,眼影刷,毛質觸感
249,工具,眼部工具,眼影刷,暈染均勻度
250,工具,眼部工具,眼影刷,顯色度
251,工具,眼部工具,眼線刷,刷痕殘留度
252,工具,眼部工具,眼線刷,吃粉程度
253,工具,眼部工具,眼線刷,釋粉力
254,工具,眼部工具,眼線刷,刷毛彈性
255,工具,眼部工具,眼線刷,刷毛密度
256,工具,眼部工具,眼線刷,上妝順手度
257,工具,眼部工具,眼線刷,耐用度
258,工具,眼部工具,眼線刷,毛質觸感
259,工具,眼部工具,眼線刷,暈染均勻度
260,工具,眼部工具,眼線刷,顯色度
261,工具,眼部工具,睫毛夾,眼型契合度
262,工具,眼部工具,睫毛夾,夾翹持久力
263,工具,眼部工具,睫毛夾,膠墊彈力
264,工具,眼部工具,睫毛夾,施力手感設計
265,工具,眼部工具,睫毛夾,死角兼顧度
266,工具,眼部工具,假睫毛,配戴舒適度
267,工具,眼部工具,假睫毛,造型仿真度
268,工具,眼部工具,假睫毛,睫毛梗部設計
269,工具,眼部工具,假睫毛,牢固力
270,工具,眼部工具,假睫毛,上手操作便利性
271,工具,眼部工具,假睫毛,重複使用率
272,工具,唇部工具,唇刷,刷痕殘留度
273,工具,唇部工具,唇刷,吃粉程度
274,工具,唇部工具,唇刷,釋粉力
275,工具,唇部工具,唇刷,刷毛彈性
276,工具,唇部工具,唇刷,刷毛密度
277,工具,唇部工具,唇刷,上妝順手度
278,工具,唇部工具,唇刷,耐用度
279,工具,唇部工具,唇刷,毛質觸感
280,工具,唇部工具,唇刷,暈染均勻度
281,工具,唇部工具,唇刷,顯色度
282,香氛,香氛產品,香水,香精濃度
283,香氛,香氛產品,香水,持香度
284,香氛,香氛產品,香水,香味層次銜接流暢度
285,香氛,香氛產品,香水,原料品質
286,香氛,香氛產品,香水,擴散度
287,香氛,香氛產品,香水,場景百搭度
288,香氛,香氛產品,香水,噴頭瓶身設計
289,香氛,香氛產品,香水,低酒精/無刺鼻感
290,香氛,香氛產品,淡香水,香精濃度
291,香氛,香氛產品,淡香水,持香度
292,香氛,香氛產品,淡香水,香味層次銜接流暢度
293,香氛,香氛產品,淡香水,原料品質
294,香氛,香氛產品,淡香水,擴散度
295,香氛,香氛產品,淡香水,場景百搭度
296,香氛,香氛產品,淡香水,噴頭瓶身設計
297,香氛,香氛產品,淡香水,低酒精/無刺鼻感
298,香氛,香氛產品,香精,香精濃度
299,香氛,香氛產品,香精,持香度
300,香氛,香氛產品,香精,香味層次銜接流暢度
301,香氛,香氛產品,香精,原料品質
302,香氛,香氛產品,香精,擴散度
303,香氛,香氛產品,香精,場景百搭度
304,香氛,香氛產品,香精,噴頭瓶身設計
305,香氛,香氛產品,香精,低酒精/無刺鼻感
306,香氛,香氛產品,淡香精,香精濃度
307,香氛,香氛產品,淡香精,持香度
308,香氛,香氛產品,淡香精,香味層次銜接流暢度
309,香氛,香氛產品,淡香精,原料品質
310,香氛,香氛產品,淡香精,擴散度
