 ,Types,Categories,Subcategories,Brand,Items（台灣官網商品名）,Items（中國官網商品名）,Another name（別稱）,Image,Product URL,HashTag,Last Update,Update This Time
1,彩妝,底妝產品,粉底液,植村秀,無極限超持久輕粉底 SPF25 PA+++,植村秀羽沙輕盈持妝粉底液,小方瓶,https://shoplineimg.com/5a8293389f9a4f3b09000791/67ab2b8cd5caed000d4fbf95/800x.webp?source_format=jpg,https://www.shuuemura.com.tw/products/advanced-unlimited,"油肌, 混合肌, 霧面感, 控油, 持久不脫妝, 防水防汗, 不暗沉, 不致痘",2026-07-07,
2,彩妝,底妝產品,粉底液,資生堂,超進化光感緊緻粉底N,資生堂新款亮瓶銀座粉底液,感光粉底,https://www.global-shiseido.com.tw/dw/image/v2/BCSK_PRD/on/demandware.static/-/Sites-itemmaster_shiseido/default/dw475992b8/images/products/21596/21596_S_01.jpg?sw=1000&sh=1000&sm=fit,https://www.global-shiseido.com.tw/%E7%B2%89%E5%BA%95-%E3%80%90%E5%85%A8%E6%96%B0%E5%8D%87%E7%B4%9A%E3%80%91%E8%B6%85%E9%80%B2%E5%8C%96%E5%85%89%E6%84%9F%E7%B7%8A%E7%B7%BB%E7%B2%89%E5%BA%95n-%E6%B0%B4%E5%85%89%E7%B2%89%E5%BA%95-%2F-%E7%B2%89%E5%BA%95%E6%B6%B2-%2F-%E7%B2%89%E5%BA%95%E6%B6%B2%E6%8E%A8%E8%96%A6-10121642301SHI.html?dwvar_10121642301SHI_color=C1012159630&cgid=M2_Face_Foundation,"乾肌, 中性肌, 光澤感, 保濕貼妝, 持久不脫妝, 不卡紋, 敏感肌友善",2026-07-07,
3,彩妝,底妝產品,粉底液,M.A.C,超持妝濾鏡粉底液SPF25/PA++,魅可訂製無瑕粉底液,定制无瑕,https://sdcdn.io/mac/tw/mac_sku_SRMY32_1x1_0.png?width=1080&height=1080,https://www.maccosmetics.com.tw/product/13847/127963/studio-fix-cushion-compact-spf-50-pa-prefill/spf-50pa,"油肌, 混合肌, 霧面感, 防水防汗, 高遮瑕, 控油, 持久不脫妝, 不暗沉, 不致痘",2026-07-07,
4,彩妝,底妝產品,粉底液,YSL,恆久完美無瑕持妝粉底,恆久完美無瑕持妝粉底,恒久粉底液,https://www.yslbeauty.com.tw/dw/image/v2/AARM_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dwee60a0a2/images/makeup/APAC-100120-YSL/APAC-100120-YSL-3614273593489-LC2-IMAGE1.jpg?sw=930&sh=930&sm=cut&sfrm=jpg&q=85,https://www.yslbeauty.com.tw/product/%E7%B2%89%E5%BA%95%E6%B6%B2/%E6%81%86%E4%B9%85%E5%AE%8C%E7%BE%8E%E7%84%A1%E7%91%95%E6%8C%81%E5%A6%9D%E7%B2%89%E5%BA%95/APAC-100120-YSL.html,"油肌,霧面感,防水防汗,控油,持久不脫妝,不暗沉, 不卡紋",2026-07-07,
5,彩妝,底妝產品,粉底液,DIOR,迪奧超完美持久柔光粉底液,迪奧鎖妝粉底液,锁妆粉底,https://www.dior.com/dw/image/v2/BGXS_PRD/on/demandware.static/-/Sites-master_dior/zh_TW/dw4635f1a3/Y0000149/Y0000149_E000001363_E01_RHC.jpg?sw=1280,https://www.dior.com/zh_tw/beauty/products/%E8%BF%AA%E5%A5%A7%E8%B6%85%E5%AE%8C%E7%BE%8E%E6%8C%81%E4%B9%85%E6%9F%94%E5%85%89%E7%B2%89%E5%BA%95%E6%B6%B2-Y0000149.html,"油肌, 混合肌, 霧面感, 高遮瑕, 控油, 防水防汗, 持久不脫妝, 不暗沉, 敏感肌友善, 不卡紋",2026-07-07,
6,彩妝,底妝產品,粉底液,CHANEL,香奈兒原生美肌底妝系列,香奈兒時尚粉底液,泡泡粉底,"https://www.chanel.com/images/t_one/w_0.43,h_0.43,c_crop/q_auto:good,f_autoplus,fl_lossy,dpr_1.1/w_1240/les-beiges-healthy-glow-moisturizing-foundation-b10-1fl-oz--packshot-default-184410-9564846161950.jpg",https://www.chanel.com/tw/makeup/p/184410/les-beiges-healthy-glow-moisturizing-foundation/,"乾肌, 中性肌, 敏感肌, 光澤感, 保濕貼妝, 敏感肌友善, 不致痘, 不卡紋",2026-07-07,
7,彩妝,底妝產品,粉底液,MAKE UP FOREVER,HD SKIN 粉無痕平衡肌底粉底液,玫珂菲不挑皮粉底液,HD粉底,https://img.91app.com/webapi/imagesV3/Original/SalePage/11701034/1/639148920705570000?v=1,https://www.makeupforever.com.tw/SalePage/Index/11701034,"混合肌, 中性肌, 霧面感, 防水防汗, 持久不脫妝, 不暗沉, 不致痘, 不卡紋",2026-07-07,
8,彩妝,底妝產品,粉底液,雅詩蘭黛,Double Wear 粉持久極致完美持妝粉底SPF10/PA++,DW持妝粉底液,DW,https://www.esteelauder.com.tw/media/export/cms/products/558x768/el_sku_PH7F82_558x768_0.jpg,https://www.esteelauder.com.tw/product/643/143007/product-catalog/makeup/face/foundation/double-wear/spf10pa#/shade/2W0-Warm-Vanilla,"油肌, 霧面感, 高遮瑕, 控油, 防水防汗, 持久不脫妝",2026-07-07,
9,彩妝,底妝產品,粉底液,蘭蔻,零粉感超持久粉底SPF 48/ PA++,蘭蔻持妝粉底液,持妆粉底液,https://www.lancome.com.tw/dw/image/v2/AARM_PRD/on/demandware.static/-/Sites-lancome-master-catalog/zh_TW/dw221f803d/images/L3_MakeUp_TeintIdoleUltraWear/A03475-LAC/A03475-LAC-3614273793551-PO-01-IMAGE1.jpg?sw=750&sh=750&sm=cut&sfrm=jpg&q=70,https://www.lancome.com.tw/%E5%BD%A9%E5%A6%9D/%E7%94%A2%E5%93%81%E7%B3%BB%E5%88%97/%E9%9B%B6%E7%B2%89%E6%84%9F%E7%B2%89%E5%BA%95%E5%85%A8%E7%B3%BB%E5%88%97/A03475-LAC.html,"混合肌, 油肌, 霧面感, 控油, 防水防汗, 持久不脫妝, 不暗沉, 不卡紋, 不致痘",2026-07-07,
10,彩妝,底妝產品,粉底液,Bobbi Brown,霧光持久粉底液 SPF 15 PA++,芭比波朗黑磁瓶粉底液,黑磁瓶,https://www.bobbibrown.com.tw/media/export/cms/products/responsive/bb_sku_EW7101_1x1_0.png?width=310&height=310,https://www.bobbibrown.com.tw/product/14017/129115/makeup/face-cheek/foundation/spf-15-pa/weightless-skin-foundation-spf-15#/family/all,"混合肌, 油肌, 霧面感, 控油, 高遮瑕, 持久不脫妝, 敏感肌友善, 不致痘",2026-07-07,
11,彩妝,底妝產品,遮瑕膏,植村秀,無極限持久遮瑕筆,無極限持久遮瑕液,小方瓶遮瑕,https://shoplineimg.com/5a8293389f9a4f3b09000791/674577bb26177600102cd5f8/800x.webp?source_format=jpg,https://www.shuuemura.com.tw/products/unlimited-concealer,"油肌, 混合肌, 霧面感, 高遮瑕, 持久不脫妝, 不暗沉, 不致痘",2026-07-07,
12,彩妝,底妝產品,遮瑕膏,資生堂,超進化光感輕潤遮瑕棒,资生堂遮瑕膏,资生堂遮瑕膏,https://www.global-shiseido.com.tw/dw/image/v2/BCSK_PRD/on/demandware.static/-/Sites-itemmaster_shiseido/default/dw19250d64/images/products/18717/18717_S_01.jpg?sw=1000&sh=1000&sm=fit,https://www.global-shiseido.com.tw/%E7%B2%89%E5%BA%95-%E8%B6%85%E9%80%B2%E5%8C%96%E5%85%89%E6%84%9F%E8%BC%95%E6%BD%A4%E9%81%AE%E7%91%95%E6%A3%92-%E9%81%AE%E7%91%95%2F-%E9%81%AE%E7%91%95%E6%8E%A8%E8%96%A6-1011870410SHI.html?dwvar_1011870410SHI_color=C1011871710&cgid=M2_Face_Foundation,"乾肌, 中性肌, 保濕貼妝, 不卡紋, 不拔乾, 持久不脫妝",2026-07-07,
13,彩妝,底妝產品,遮瑕膏,M.A.C,超持妝六色遮瑕盤,MAC六色遮瑕盤,六色遮瑕盘,https://sdcdn.io/mac/tw/mac_sku_SJR301_1x1_0.png?width=1080&height=1080,https://www.maccosmetics.com.tw/product/13844/71406/studio-fix-conceal-and-correct-palette,"油肌, 混合肌, 霧面感, 高遮瑕, 控油, 持久不脫妝",2026-07-07,
14,彩妝,底妝產品,遮瑕膏,YSL,恆久完美精準無瑕遮瑕液,YSL全新恆久遮瑕液,恒久遮瑕,https://www.yslbeauty.com.tw/dw/image/v2/AARM_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dw5bd75034/images/makeup-concealer-lighter/APAC-1004599-YSL/APAC-1004599-YSL-3614273954419-LW7-IMAGE1.jpg?sw=136&sh=136&sm=cut&sfrm=jpeg&q=85,https://www.yslbeauty.com.tw/product/%E9%81%AE%E7%91%95%EF%BD%9C%E6%89%93%E4%BA%AE/%E6%81%86%E4%B9%85%E5%AE%8C%E7%BE%8E%E7%B2%BE%E6%BA%96%E7%84%A1%E7%91%95%E9%81%AE%E7%91%95%E6%B6%B2/APAC-1004599-YSL.html,"油肌, 混合肌, 霧面感, 高遮瑕, 成膜快, 不沾染, 持久不脫妝",2026-07-07,
15,彩妝,底妝產品,遮瑕膏,DIOR,DIOR超完美持久遮瑕乳,迪奥锁妆遮瑕蜜,锁妆遮瑕,https://www.dior.com/dw/image/v2/BGXS_PRD/on/demandware.static/-/Sites-master_dior/default/dwc8d77b7f/Y0326000/Y0326000_C032600005_E01_RHC.jpg?sw=1280,https://www.dior.com/zh_tw/beauty/products/dior%E8%B6%85%E5%AE%8C%E7%BE%8E%E6%8C%81%E4%B9%85%E9%81%AE%E7%91%95%E4%B9%B3-Y0326000.html,"乾肌, 混合肌, 保濕貼妝, 高遮瑕, 不卡紋, 持久不脫妝, 不拔乾",2026-07-07,
16,彩妝,底妝產品,遮瑕膏,CHANEL,香奈兒原生美肌遮瑕精萃,香奈儿遮瑕膏,香奈儿遮瑕膏,"https://www.chanel.com/images/t_one/w_0.43,h_0.43,c_crop/q_auto:good,f_autoplus,fl_lossy,dpr_1.1/w_1240/les-beiges-natural-healthy-glow-b20-0-29oz--packshot-default-184016-9582248755230.jpg",https://www.chanel.com/tw/makeup/p/184016/les-beiges-serum-concealer-natural-healthy-glow/,"乾肌, 中性肌, 敏感肌, 光澤感, 水潤感, 保濕貼妝, 敏感肌友善, 溫和不刺激",2026-07-07,
17,彩妝,底妝產品,遮瑕膏,MAKE UP FOREVER,HD SKIN 粉無痕魔力防水遮瑕霜,玫珂菲清晰无痕遮瑕霜,HD遮瑕,https://img.91app.com/webapi/imagesV3/Original/SalePage/10906292/1/639148929069630000?v=1,https://www.makeupforever.com.tw/SalePage/Index/10906292,"混合肌, 油肌, 霧面感, 防水防汗, 持久不脫妝, 不暗沉, 不卡紋",2026-07-07,
18,彩妝,底妝產品,遮瑕膏,雅詩蘭黛,Futurist 粉保濕遮瑕亮眼精萃,雅诗兰黛沁水遮瑕膏,沁水遮瑕,https://www.esteelauder.com.tw/media/export/cms/products/558x768/el_sku_GXKY02_558x768_0.jpg,https://www.esteelauder.com.tw/product/642/117110/product-catalog/makeup/face/concealer/futurist#/shade/1C,"乾肌, 混合肌, 光澤感, 保濕貼妝, 水潤感, 不起死皮, 不拔乾",2026-07-07,
