ID,Types,Categories,Subcategories
1,彩妝,底妝產品,粉底液
2,彩妝,底妝產品,遮瑕膏
3,彩妝,底妝產品,氣墊粉餅
4,彩妝,底妝產品,蜜粉
5,彩妝,底妝產品,腮紅
6,彩妝,底妝產品,妝前乳
7,彩妝,底妝產品,防曬乳
8,彩妝,底妝產品,打亮/修容
9,彩妝,底妝產品,定妝噴霧
10,彩妝,眼妝產品,眉筆
11,彩妝,眼妝產品,眼線筆
12,彩妝,眼妝產品,睫毛膏
13,彩妝,眼妝產品,眼影/眼影盤
14,彩妝,唇妝產品,唇膏
15,彩妝,唇妝產品,唇蜜
16,彩妝,唇妝產品,唇釉
17,彩妝,唇妝產品,護唇膏
18,保養,清潔,洗面乳
19,保養,清潔,去角質
20,保養,卸妝,卸妝油
21,保養,卸妝,卸妝膏
22,保養,卸妝,卸妝水
23,保養,卸妝,眼唇卸妝液
24,保養,卸妝,卸妝棉
25,保養,保養品,化妝水
26,保養,保養品,乳液
27,保養,保養品,面霜
28,保養,保養品,精華液
29,保養,保養品,眼霜
30,保養,保養品,面膜
31,工具,臉部工具,粉底刷
32,工具,臉部工具,腮紅刷
33,工具,臉部工具,打亮修容刷
34,工具,臉部工具,海綿粉撲
35,工具,眼部工具,眼影刷
36,工具,眼部工具,眼線刷
37,工具,眼部工具,睫毛夾
38,工具,眼部工具,假睫毛
39,工具,唇部工具,唇刷
40,香氛,香氛產品,香水
41,香氛,香氛產品,淡香水
42,香氛,香氛產品,香精
43,香氛,香氛產品,淡香精
